name,amenity,main_cuisine,lat,lon,has_outdoor_seating,has_wifi,is_wheelchair_accessible
Anarkoli,restaurant,indian,40.4095795,-3.7023086,False,False,False
Achuri,restaurant,unknown,40.4081287,-3.6980834,False,False,False
Tapas,bar,unknown,40.4144723,-3.7002686,False,False,False
La Buga del Lobo,restaurant,spanish,40.4089902,-3.6997202,False,False,False
Yin He,restaurant,chinese,40.4002198,-3.7494203,False,False,False
GB-2,restaurant,unknown,40.4007505,-3.7452458,False,False,False
Cafetería El Trébol,cafe,unknown,40.4011108,-3.7500117,False,False,False
El Porto,restaurant,unknown,40.4011609,-3.7518806,False,False,False
P.L,cafe,unknown,40.4047751,-3.7474884,False,False,False
Mayka,cafe,unknown,40.4048028,-3.7473393,False,False,False
El Mercado de Montiz,restaurant,unknown,40.4005868,-3.7548689,True,False,False
Café Viena,cafe,unknown,40.4252249,-3.7153795,False,False,False
Cervecería Rodríguez,bar,unknown,40.4251204,-3.714055,False,False,False
Cáscaras,restaurant,unknown,40.4250934,-3.7138414,False,False,False
New Bistró,restaurant,unknown,40.4251961,-3.7143347,False,False,False
Sabores patagónicos,restaurant,unknown,40.413651,-3.7247707,False,False,False
La Fogata,restaurant,unknown,40.4136377,-3.7243418,True,False,False
Horno Santa María,restaurant,unknown,40.4205148,-3.7209324,True,False,False
Florida Norte,restaurant,unknown,40.4206062,-3.7209429,True,False,False
Duduá Palacio,restaurant,unknown,40.4218307,-3.7136481,False,False,False
Cafetería Sabatini,cafe,unknown,40.4199408,-3.712743,False,False,True
Starbucks,cafe,coffee_shop,40.4180265,-3.6995474,False,False,False
Casarrubios,bar,unknown,40.4043735,-3.7502913,False,False,False
Conrado's Café,cafe,unknown,40.4199676,-3.6972689,False,False,False
La Cope Beach Club,restaurant,unknown,40.3776073,-3.770378,False,False,False
Bar Restaurante Risol,restaurant,regional,40.4305385,-3.7194219,True,False,False
El Pinar,restaurant,unknown,40.5364479,-3.7837804,True,False,False
Epoca de Esteban,restaurant,unknown,40.4811517,-3.6630561,False,False,False
Il Duomo Di Firence,restaurant,italian,40.461507,-3.5917798,False,False,False
Restaurante Bar Merendero Madrid,restaurant,unknown,40.4649008,-3.5867715,False,False,False
Sagar,restaurant,indian,40.4358615,-3.6723777,False,False,False
Sumo,restaurant,sushi,40.4595155,-3.692679,False,False,False
"Restaurante ""El Cartel""",restaurant,unknown,40.4060991,-3.6981652,False,False,False
,cafe,unknown,40.4429155,-3.7091939,False,False,False
San Ildefonso,cafe,unknown,40.4069545,-3.6878773,False,False,False
Santagloria,cafe,unknown,40.4254,-3.7072729,True,False,False
Tempo II,bar,unknown,40.4264722,-3.706712,False,False,False
El Papelón,restaurant,regional,40.4141285,-3.7037386,False,False,True
Casa García,restaurant,tapas,40.4142879,-3.7042118,False,False,False
